Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRatio,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,Roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
34861,699.286,257.159639,172.8389871,1.487856666,0.740453353,35324,210.6808102,0.718635333,0.986892764,0.895859777,0.819260795,0.007376714,0.002049894,0.67118825,0.998631911,DERMASON
51106,887.937,369.4886268,176.5441169,2.092896854,0.878465037,51520,255.0885732,0.689801317,0.991964286,0.814549438,0.690382747,0.007229848,0.001013138,0.476628338,0.997533948,HOROZ
40504,740.479,245.5417356,210.4261872,1.166878224,0.51533727,40946,227.0931406,0.763189629,0.989205295,0.928287036,0.924865747,0.00606216,0.002736037,0.855376649,0.998120386,SEKER
38222,709.963,246.2705253,197.7036161,1.245655139,0.596261316,38555,220.6031774,0.780773788,0.991362988,0.952909903,0.895775802,0.006443162,0.002559034,0.802414288,0.999531481,SEKER
27765,610.322,221.2600991,160.2366923,1.380832916,0.689589384,28057,188.019935,0.809805752,0.989592615,0.936676214,0.849768828,0.007969029,0.002563235,0.72210706,0.997109198,DERMASON
42297,791.941,316.1185256,171.1496864,1.847029535,0.840758803,42751,232.0651051,0.799625681,0.989380365,0.847488422,0.734107894,0.007473781,0.001338936,0.5389144,0.995390814,SIRA
40177,782.791,271.3136861,189.4364871,1.432214513,0.715883809,40985,226.1745901,0.724432023,0.98028547,0.823940255,0.833627648,0.00675296,0.002011696,0.694935056,0.995296072,SIRA
48745,829.821,324.5692679,191.8647243,1.691656813,0.806571571,49277,249.1265976,0.805077048,0.989203888,0.8895515,0.767560648,0.006658514,0.001425633,0.589149348,0.996638508,SIRA
27378,601.046,213.328485,163.7296314,1.302931443,0.641048837,27718,186.7049872,0.746808511,0.987733603,0.952349067,0.875199518,0.007791967,0.002820039,0.765974196,0.998011865,DERMASON
60658,987.242,410.5386065,190.2201118,2.158229235,0.886179124,61495,277.9067547,0.738740714,0.986389137,0.782079144,0.676932085,0.006768087,0.00087665,0.458237047,0.988980592,HOROZ
37053,735.079,243.1193396,194.3774425,1.250759021,0.60064676,37533,217.2034642,0.754858819,0.987211254,0.861718087,0.893402658,0.006561394,0.002578486,0.798168309,0.998316213,SEKER
50371,827.936,293.940665,218.6727557,1.344203415,0.668251958,50872,253.2476043,0.784998519,0.990151753,0.923414954,0.861560289,0.005835514,0.00198336,0.742286132,0.997783554,SEKER
