Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRatio,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,Roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
75351,1095.258,408.4086836,236.0432439,1.730228228,0.816066202,76285,309.7416229,0.794305532,0.98775644,0.789343462,0.758410963,0.005420083,0.001106125,0.575187188,0.995205109,BARBUNYA
48335,812.408,293.9535048,209.524802,1.402953263,0.701385522,48862,248.0766684,0.734730794,0.989214523,0.920286824,0.843931657,0.006081587,0.001902943,0.712220642,0.999212274,SEKER
34703,676.387,230.7693155,191.7626609,1.203411104,0.556315398,35025,210.2028352,0.77323975,0.990806567,0.953205151,0.910878618,0.006649838,0.002823793,0.829699856,0.99847002,SEKER
44436,772.915,270.33186,209.5352252,1.290149948,0.631834039,44893,237.8606155,0.783703704,0.989820239,0.934719603,0.879883768,0.006083623,0.002249279,0.774195445,0.998828213,SEKER
38277,729.704,281.091512,173.6415521,1.618803268,0.786382181,38676,220.7618401,0.776724838,0.989683525,0.903346367,0.785373555,0.007343614,0.001723434,0.616811621,0.998496668,DERMASON
35444,696.847,258.9878646,174.543132,1.483804385,0.738783087,35778,212.4351723,0.764307586,0.990664654,0.917228884,0.820251453,0.007306959,0.002040349,0.672812446,0.998322058,DERMASON
51191,849.927,319.1020181,205.4676187,1.553052593,0.765115384,51839,255.300618,0.783911672,0.987499759,0.890512922,0.800059553,0.006233557,0.001575451,0.640095288,0.994101647,SIRA
64580,1036.017,356.7809995,230.7238485,1.546355098,0.762759725,65911,286.7504312,0.717603396,0.979806102,0.756091126,0.803715533,0.005524636,0.001421978,0.645958658,0.998881464,BARBUNYA
68562,984.765,384.871051,229.5108679,1.676918633,0.802738013,69637,295.4587106,0.788522139,0.984562804,0.888440059,0.767682344,0.005613475,0.001202646,0.589336181,0.988268824,CALI
56846,954.252,384.5003159,189.1331097,2.032961423,0.870655518,57490,269.0326656,0.609086039,0.988798052,0.784483145,0.699694264,0.006763894,0.001000023,0.489572063,0.995281119,HOROZ
51547,845.219,312.9640768,210.5812183,1.486191785,0.739769234,51987,256.1868045,0.778443928,0.991536346,0.906723259,0.818582142,0.006071431,0.001681589,0.670076724,0.995862523,SIRA
75936,1079.901,420.4081586,232.4118036,1.808893318,0.833297909,77128,310.9416634,0.765599637,0.984545172,0.818256933,0.739618528,0.005536348,0.001021961,0.547035567,0.989528982,CALI
35129,703.253,268.4473909,167.1702673,1.605832157,0.782436731,35497,211.4890824,0.814453306,0.989632927,0.892590919,0.787823199,0.00764176,0.001815885,0.620665393,0.996684447,SIRA
